Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Riyad Mahrez,Algeria,Manchester City,2012-13,Round Of 16,Atletico Madrid,83,Header,Home,3
Sadio Mane,Senegal,Liverpool,2010-11,Final,Atletico Madrid,59,Header,Away,2
Bukayo Saka,England,Arsenal,2012-13,Group Stage,Benfica,18,Penalty,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2019-20,Group Stage,Ac Milan,16,Free Kick,Away,1
Julian Alvarez,Argentina,Manchester City,2013-14,Semi-Final,Atletico Madrid,19,Free Kick,Home,1
Bernardo Silva,Portugal,Manchester City,2014-15,Final,Benfica,91,Header,Away,1
Toni Kroos,Germany,Real Madrid,2013-14,Semi-Final,Paris Saint-Germain,61,Penalty,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2020-21,Quarter-Final,Benfica,58,Free Kick,Away,2
Thomas Muller,Germany,Bayern Munich,2020-21,Group Stage,Real Madrid,89,Left Foot,Home,3
Thomas Muller,Germany,Bayern Munich,2020-21,Final,Juventus,25,Header,Away,2
Mohamed Salah,Egypt,Liverpool,2019-20,Group Stage,Sevilla,52,Free Kick,Away,2
Thomas Muller,Germany,Bayern Munich,2019-20,Quarter-Final,Juventus,1,Penalty,Home,3
Sadio Mane,Senegal,Bayern Munich,2011-12,Semi-Final,Porto,68,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2021-22,Group Stage,Inter Milan,19,Penalty,Away,3
Antoine Griezmann,France,Atletico Madrid,2023-24,Round Of 16,Porto,11,Penalty,Home,3
Raul Gonzalez,Spain,Real Madrid,2020-21,Group Stage,Sevilla,76,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2022-23,Round Of 16,Benfica,44,Penalty,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Final,Tottenham Hotspur,46,Penalty,Home,1
Riyad Mahrez,Algeria,Manchester City,2010-11,Group Stage,Tottenham Hotspur,72,Penalty,Home,1
Memphis Depay,Netherlands,Barcelona,2023-24,Quarter-Final,Atletico Madrid,11,Free Kick,Home,1
Filippo Inzaghi,Italy,Ac Milan,2016-17,Group Stage,Sevilla,62,Header,Home,2
Antoine Griezmann,France,Atletico Madrid,2015-16,Group Stage,Chelsea,14,Header,Home,1
Paulo Dybala,Argentina,Juventus,2021-22,Quarter-Final,Paris Saint-Germain,47,Penalty,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Semi-Final,Tottenham Hotspur,82,Header,Home,1
Thomas Muller,Germany,Bayern Munich,2012-13,Round Of 16,Chelsea,21,Right Foot,Home,2
Harry Kane,England,Bayern Munich,2020-21,Group Stage,Tottenham Hotspur,63,Free Kick,Away,1
Mohamed Salah,Egypt,Liverpool,2017-18,Round Of 16,Borussia Dortmund,71,Right Foot,Home,1
Bernardo Silva,Portugal,Manchester City,2011-12,Group Stage,Napoli,1,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2016-17,Group Stage,Ac Milan,1,Left Foot,Away,1
Jude Bellingham,England,Real Madrid,2022-23,Group Stage,Ajax,66,Left Foot,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2013-14,Group Stage,Benfica,34,Right Foot,Home,2
Julian Alvarez,Argentina,Manchester City,2014-15,Semi-Final,Paris Saint-Germain,6,Penalty,Home,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2010-11,Round Of 16,Tottenham Hotspur,86,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2020-21,Round Of 16,Bayern Munich,78,Header,Home,3
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Group Stage,Liverpool,73,Left Foot,Home,2
Alessandro Del Piero,Italy,Juventus,2016-17,Group Stage,Porto,86,Header,Away,3
Harry Kane,England,Tottenham Hotspur,2016-17,Group Stage,Sevilla,17,Left Foot,Home,2
Cristiano Ronaldo,Portugal,Juventus,2020-21,Group Stage,Liverpool,21,Header,Home,1
Bernardo Silva,Portugal,Manchester City,2012-13,Quarter-Final,Bayern Munich,72,Header,Home,2
Raul Gonzalez,Spain,Real Madrid,2020-21,Semi-Final,Ac Milan,26,Penalty,Home,1
Riyad Mahrez,Algeria,Manchester City,2017-18,Round Of 16,Ajax,33,Penalty,Away,1
Robert Lewandowski,Poland,Borussia Dortmund,2010-11,Quarter-Final,Liverpool,48,Right Foot,Home,2
Thomas Muller,Germany,Bayern Munich,2017-18,Group Stage,Juventus,17,Penalty,Away,1
Fernando Torres,Spain,Liverpool,2012-13,Round Of 16,Manchester United,48,Header,Home,3
Luka Modric,Croatia,Real Madrid,2017-18,Final,Napoli,42,Free Kick,Home,2
Ousmane Dembele,France,Paris Saint-Germain,2021-22,Group Stage,Bayern Munich,23,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2011-12,Group Stage,Juventus,17,Right Foot,Home,2
Sadio Mane,Senegal,Liverpool,2018-19,Round Of 16,Inter Milan,72,Right Foot,Away,2
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Group Stage,Borussia Dortmund,57,Header,Home,3
Luis Suarez,Uruguay,Atletico Madrid,2022-23,Round Of 16,Real Madrid,18,Free Kick,Away,2
Sadio Mane,Senegal,Bayern Munich,2013-14,Final,Benfica,25,Penalty,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Quarter-Final,Chelsea,12,Header,Away,1
Sadio Mane,Senegal,Liverpool,2023-24,Round Of 16,Manchester United,32,Left Foot,Away,2
Cristiano Ronaldo,Portugal,Manchester United,2017-18,Semi-Final,Manchester City,49,Right Foot,Home,1
Erling Haaland,Norway,Borussia Dortmund,2022-23,Semi-Final,Manchester City,90,Left Foot,Home,2
Cristiano Ronaldo,Portugal,Juventus,2021-22,Round Of 16,Napoli,12,Free Kick,Away,2
Kevin De Bruyne,Belgium,Manchester City,2013-14,Semi-Final,Inter Milan,71,Right Foot,Home,1
Luka Modric,Croatia,Real Madrid,2014-15,Final,Ajax,46,Left Foot,Home,1
Luka Modric,Croatia,Real Madrid,2010-11,Semi-Final,Napoli,10,Free Kick,Home,1
Vinicius Junior,Brazil,Real Madrid,2016-17,Round Of 16,Borussia Dortmund,88,Header,Away,1
Paulo Dybala,Argentina,Juventus,2016-17,Group Stage,Benfica,71,Header,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2012-13,Round Of 16,Arsenal,40,Right Foot,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2018-19,Semi-Final,Tottenham Hotspur,92,Penalty,Away,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2020-21,Group Stage,Paris Saint-Germain,34,Penalty,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2022-23,Final,Ajax,68,Penalty,Away,3
Cristiano Ronaldo,Portugal,Juventus,2016-17,Group Stage,Tottenham Hotspur,32,Right Foot,Home,1
Andriy Shevchenko,Ukraine,Chelsea,2022-23,Semi-Final,Borussia Dortmund,45,Header,Away,2
Karim Benzema,France,Real Madrid,2012-13,Round Of 16,Borussia Dortmund,38,Right Foot,Home,1
Erling Haaland,Norway,Borussia Dortmund,2012-13,Final,Benfica,30,Right Foot,Home,3
Luka Modric,Croatia,Real Madrid,2018-19,Quarter-Final,Manchester City,89,Header,Away,1
Andriy Shevchenko,Ukraine,Ac Milan,2012-13,Group Stage,Chelsea,80,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2023-24,Semi-Final,Chelsea,83,Penalty,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2010-11,Group Stage,Liverpool,66,Header,Away,1
Raul Gonzalez,Spain,Real Madrid,2013-14,Final,Barcelona,43,Right Foot,Home,1
Fernando Torres,Spain,Chelsea,2012-13,Final,Manchester City,15,Right Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2020-21,Group Stage,Borussia Dortmund,42,Left Foot,Away,3
Sergio Aguero,Argentina,Manchester City,2020-21,Semi-Final,Benfica,89,Penalty,Away,1
Luka Modric,Croatia,Real Madrid,2014-15,Quarter-Final,Borussia Dortmund,56,Header,Away,1
Andriy Shevchenko,Ukraine,Ac Milan,2015-16,Semi-Final,Atletico Madrid,9,Penalty,Away,2
Andriy Shevchenko,Ukraine,Ac Milan,2015-16,Round Of 16,Borussia Dortmund,60,Right Foot,Home,2
Wayne Rooney,England,Manchester United,2016-17,Final,Chelsea,70,Penalty,Away,1
Julian Alvarez,Argentina,Manchester City,2020-21,Group Stage,Ajax,75,Left Foot,Home,2
Filippo Inzaghi,Italy,Ac Milan,2023-24,Round Of 16,Atletico Madrid,67,Right Foot,Away,2
Vinicius Junior,Brazil,Real Madrid,2014-15,Round Of 16,Arsenal,71,Left Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2017-18,Quarter-Final,Ajax,34,Right Foot,Away,2
Thomas Muller,Germany,Bayern Munich,2021-22,Group Stage,Atletico Madrid,88,Header,Home,1
Joshua Kimmich,Germany,Bayern Munich,2012-13,Group Stage,Manchester City,84,Left Foot,Home,3
Ousmane Dembele,France,Barcelona,2011-12,Final,Benfica,60,Header,Home,1
Memphis Depay,Netherlands,Barcelona,2010-11,Semi-Final,Liverpool,28,Right Foot,Home,2
Toni Kroos,Germany,Real Madrid,2021-22,Final,Porto,5,Header,Away,2
Fernando Torres,Spain,Chelsea,2022-23,Quarter-Final,Liverpool,24,Free Kick,Home,2
Ousmane Dembele,France,Barcelona,2013-14,Group Stage,Bayern Munich,58,Right Foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Round Of 16,Bayern Munich,80,Right Foot,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2022-23,Final,Napoli,71,Right Foot,Away,1
Lionel Messi,Argentina,Barcelona,2020-21,Group Stage,Paris Saint-Germain,4,Header,Away,3
Kevin De Bruyne,Belgium,Manchester City,2023-24,Quarter-Final,Paris Saint-Germain,33,Header,Home,3
Raul Gonzalez,Spain,Real Madrid,2021-22,Group Stage,Atletico Madrid,50,Right Foot,Home,1
Harry Kane,England,Bayern Munich,2012-13,Quarter-Final,Chelsea,71,Header,Home,1
Wayne Rooney,England,Manchester United,2022-23,Quarter-Final,Ajax,91,Left Foot,Away,1
Vinicius Junior,Brazil,Real Madrid,2016-17,Round Of 16,Bayern Munich,87,Header,Home,1
Memphis Depay,Netherlands,Barcelona,2012-13,Final,Porto,11,Right Foot,Away,3
Jude Bellingham,England,Real Madrid,2022-23,Semi-Final,Liverpool,94,Penalty,Home,2
Vinicius Junior,Brazil,Real Madrid,2014-15,Group Stage,Ajax,90,Penalty,Away,1
Raul Gonzalez,Spain,Real Madrid,2022-23,Group Stage,Juventus,53,Header,Away,1
Joshua Kimmich,Germany,Bayern Munich,2022-23,Semi-Final,Tottenham Hotspur,88,Left Foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,Round Of 16,Juventus,77,Penalty,Away,1
Robert Lewandowski,Poland,Barcelona,2011-12,Round Of 16,Chelsea,3,Penalty,Away,1
Andriy Shevchenko,Ukraine,Ac Milan,2017-18,Group Stage,Paris Saint-Germain,87,Right Foot,Away,2
Erling Haaland,Norway,Borussia Dortmund,2023-24,Group Stage,Chelsea,53,Left Foot,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2017-18,Quarter-Final,Atletico Madrid,13,Penalty,Home,3
Ruud Van Nistelrooy,Netherlands,Manchester United,2021-22,Semi-Final,Juventus,89,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2018-19,Group Stage,Manchester City,55,Left Foot,Home,2
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Group Stage,Ac Milan,19,Penalty,Home,1
Antoine Griezmann,France,Atletico Madrid,2010-11,Group Stage,Liverpool,70,Right Foot,Away,3
Ousmane Dembele,France,Paris Saint-Germain,2012-13,Round Of 16,Inter Milan,38,Header,Home,2
Thomas Muller,Germany,Bayern Munich,2010-11,Semi-Final,Arsenal,40,Penalty,Home,1
Thomas Muller,Germany,Bayern Munich,2013-14,Group Stage,Napoli,7,Penalty,Away,1
Bukayo Saka,England,Arsenal,2013-14,Group Stage,Atletico Madrid,86,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2016-17,Group Stage,Tottenham Hotspur,13,Header,Home,2
Joshua Kimmich,Germany,Bayern Munich,2015-16,Group Stage,Ac Milan,26,Header,Home,2
Jude Bellingham,England,Real Madrid,2017-18,Group Stage,Paris Saint-Germain,28,Left Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2019-20,Round Of 16,Chelsea,81,Header,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2014-15,Round Of 16,Atletico Madrid,48,Header,Home,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,Group Stage,Manchester United,22,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2016-17,Group Stage,Real Madrid,79,Right Foot,Away,1
Bernardo Silva,Portugal,Manchester City,2022-23,Round Of 16,Ac Milan,74,Penalty,Home,2
Karim Benzema,France,Real Madrid,2011-12,Group Stage,Ac Milan,13,Penalty,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Group Stage,Inter Milan,38,Left Foot,Away,2
Raul Gonzalez,Spain,Real Madrid,2011-12,Round Of 16,Liverpool,5,Free Kick,Away,3
Fernando Torres,Spain,Chelsea,2017-18,Group Stage,Benfica,95,Header,Home,1
Cristiano Ronaldo,Portugal,Real Madrid,2021-22,Group Stage,Ac Milan,56,Right Foot,Away,1
Raul Gonzalez,Spain,Real Madrid,2010-11,Group Stage,Bayern Munich,63,Right Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Final,Borussia Dortmund,28,Right Foot,Away,1
Antoine Griezmann,France,Atletico Madrid,2022-23,Round Of 16,Benfica,68,Free Kick,Home,1
Karim Benzema,France,Real Madrid,2010-11,Group Stage,Benfica,94,Right Foot,Home,2
Memphis Depay,Netherlands,Barcelona,2016-17,Group Stage,Porto,70,Left Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2012-13,Semi-Final,Paris Saint-Germain,58,Header,Home,2
Julian Alvarez,Argentina,Manchester City,2023-24,Final,Ac Milan,42,Penalty,Home,1
Julian Alvarez,Argentina,Manchester City,2019-20,Quarter-Final,Porto,34,Header,Away,1
Victor Osimhen,Nigeria,Napoli,2012-13,Round Of 16,Atletico Madrid,59,Right Foot,Home,3
Cristiano Ronaldo,Portugal,Manchester United,2023-24,Quarter-Final,Barcelona,61,Penalty,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Semi-Final,Porto,7,Penalty,Home,2
Luka Modric,Croatia,Real Madrid,2018-19,Round Of 16,Tottenham Hotspur,34,Left Foot,Away,2
Paulo Dybala,Argentina,Juventus,2023-24,Semi-Final,Bayern Munich,58,Header,Home,3
Vinicius Junior,Brazil,Real Madrid,2022-23,Quarter-Final,Paris Saint-Germain,60,Left Foot,Home,3
Antoine Griezmann,France,Atletico Madrid,2019-20,Group Stage,Porto,16,Penalty,Away,1
Sadio Mane,Senegal,Bayern Munich,2017-18,Quarter-Final,Real Madrid,21,Penalty,Away,1
Luis Suarez,Uruguay,Barcelona,2013-14,Round Of 16,Real Madrid,5,Free Kick,Home,1
Karim Benzema,France,Real Madrid,2023-24,Round Of 16,Barcelona,59,Header,Home,3
Raul Gonzalez,Spain,Real Madrid,2023-24,Group Stage,Sevilla,64,Free Kick,Away,3
Mohamed Salah,Egypt,Liverpool,2018-19,Quarter-Final,Ajax,78,Right Foot,Away,3
Harry Kane,England,Bayern Munich,2017-18,Final,Benfica,58,Penalty,Away,1
Sadio Mane,Senegal,Bayern Munich,2022-23,Round Of 16,Napoli,73,Header,Away,2
Julian Alvarez,Argentina,Manchester City,2010-11,Round Of 16,Ajax,6,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2018-19,Group Stage,Porto,56,Header,Home,3
Bukayo Saka,England,Arsenal,2019-20,Group Stage,Manchester City,86,Right Foot,Away,2
Riyad Mahrez,Algeria,Manchester City,2023-24,Semi-Final,Napoli,92,Free Kick,Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Round Of 16,Juventus,40,Free Kick,Home,2
Riyad Mahrez,Algeria,Manchester City,2012-13,Group Stage,Real Madrid,29,Right Foot,Away,2
Ruud Van Nistelrooy,Netherlands,Manchester United,2013-14,Final,Sevilla,61,Right Foot,Home,3
Joshua Kimmich,Germany,Bayern Munich,2021-22,Group Stage,Juventus,47,Right Foot,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2022-23,Final,Arsenal,19,Right Foot,Away,2
Gareth Bale,Wales,Real Madrid,2022-23,Round Of 16,Atletico Madrid,29,Penalty,Home,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Group Stage,Paris Saint-Germain,94,Header,Away,2
Erling Haaland,Norway,Manchester City,2013-14,Round Of 16,Atletico Madrid,78,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2013-14,Group Stage,Barcelona,26,Penalty,Away,1
Mohamed Salah,Egypt,Liverpool,2021-22,Round Of 16,Sevilla,77,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2015-16,Final,Inter Milan,53,Penalty,Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2018-19,Semi-Final,Benfica,79,Right Foot,Home,1
Sergio Aguero,Argentina,Manchester City,2019-20,Round Of 16,Real Madrid,11,Right Foot,Home,2
Alessandro Del Piero,Italy,Juventus,2013-14,Group Stage,Paris Saint-Germain,90,Penalty,Away,2
Ousmane Dembele,France,Barcelona,2018-19,Semi-Final,Benfica,81,Header,Home,3
Karim Benzema,France,Real Madrid,2018-19,Final,Bayern Munich,40,Header,Home,2
Alessandro Del Piero,Italy,Juventus,2023-24,Round Of 16,Inter Milan,16,Right Foot,Home,2
Zlatan Ibrahimovic,Sweden,Ac Milan,2017-18,Final,Tottenham Hotspur,9,Free Kick,Home,1
Luka Modric,Croatia,Real Madrid,2015-16,Semi-Final,Manchester United,28,Header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2023-24,Group Stage,Manchester City,94,Right Foot,Away,3
Mohamed Salah,Egypt,Liverpool,2017-18,Round Of 16,Sevilla,43,Free Kick,Away,1
Memphis Depay,Netherlands,Barcelona,2020-21,Group Stage,Real Madrid,14,Header,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2010-11,Group Stage,Porto,54,Header,Away,1
Bukayo Saka,England,Arsenal,2014-15,Round Of 16,Real Madrid,60,Free Kick,Away,1
Vinicius Junior,Brazil,Real Madrid,2021-22,Quarter-Final,Inter Milan,28,Right Foot,Away,1
Vinicius Junior,Brazil,Real Madrid,2017-18,Group Stage,Borussia Dortmund,30,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2023-24,Semi-Final,Tottenham Hotspur,55,Penalty,Away,1
Bernardo Silva,Portugal,Manchester City,2011-12,Final,Real Madrid,31,Free Kick,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2017-18,Semi-Final,Borussia Dortmund,70,Header,Away,3
Victor Osimhen,Nigeria,Napoli,2018-19,Final,Ac Milan,39,Penalty,Home,2
Antoine Griezmann,France,Atletico Madrid,2014-15,Group Stage,Sevilla,60,Free Kick,Home,2
Thomas Muller,Germany,Bayern Munich,2021-22,Round Of 16,Napoli,76,Header,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Group Stage,Benfica,83,Header,Away,2
Paulo Dybala,Argentina,Juventus,2022-23,Group Stage,Porto,40,Right Foot,Away,2
Filippo Inzaghi,Italy,Ac Milan,2022-23,Quarter-Final,Sevilla,58,Header,Away,2
Karim Benzema,France,Real Madrid,2019-20,Round Of 16,Atletico Madrid,15,Left Foot,Away,1
Paulo Dybala,Argentina,Juventus,2014-15,Quarter-Final,Napoli,94,Penalty,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2015-16,Group Stage,Sevilla,41,Header,Home,1
Paulo Dybala,Argentina,Juventus,2013-14,Group Stage,Porto,8,Left Foot,Home,1
Ousmane Dembele,France,Barcelona,2016-17,Round Of 16,Napoli,45,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2020-21,Group Stage,Porto,5,Right Foot,Away,3
Joshua Kimmich,Germany,Bayern Munich,2010-11,Group Stage,Tottenham Hotspur,36,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2021-22,Round Of 16,Napoli,64,Header,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2015-16,Group Stage,Manchester City,84,Penalty,Home,2
Luis Suarez,Uruguay,Barcelona,2018-19,Final,Napoli,3,Penalty,Home,1
Kevin De Bruyne,Belgium,Manchester City,2020-21,Group Stage,Tottenham Hotspur,96,Right Foot,Away,2
Robert Lewandowski,Poland,Barcelona,2019-20,Round Of 16,Borussia Dortmund,64,Free Kick,Away,2
Joshua Kimmich,Germany,Bayern Munich,2013-14,Group Stage,Ajax,52,Free Kick,Home,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,Final,Manchester United,37,Free Kick,Home,1
Antoine Griezmann,France,Atletico Madrid,2015-16,Group Stage,Juventus,88,Right Foot,Home,1
Luka Modric,Croatia,Real Madrid,2019-20,Semi-Final,Arsenal,1,Right Foot,Away,2
Neymar Jr,Brazil,Paris Saint-Germain,2012-13,Semi-Final,Benfica,51,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2016-17,Group Stage,Chelsea,71,Header,Home,1
Sadio Mane,Senegal,Bayern Munich,2020-21,Final,Manchester United,85,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2019-20,Group Stage,Benfica,55,Penalty,Home,3
Sadio Mane,Senegal,Liverpool,2011-12,Group Stage,Bayern Munich,69,Header,Away,1
Victor Osimhen,Nigeria,Napoli,2017-18,Round Of 16,Paris Saint-Germain,32,Right Foot,Home,3
Antoine Griezmann,France,Atletico Madrid,2015-16,Quarter-Final,Porto,91,Left Foot,Home,1
Mohamed Salah,Egypt,Liverpool,2019-20,Quarter-Final,Ac Milan,26,Right Foot,Away,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2012-13,Group Stage,Atletico Madrid,5,Right Foot,Away,3
Jude Bellingham,England,Real Madrid,2022-23,Round Of 16,Sevilla,47,Right Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2011-12,Group Stage,Manchester United,52,Header,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2021-22,Group Stage,Atletico Madrid,25,Right Foot,Away,3
Luka Modric,Croatia,Real Madrid,2017-18,Round Of 16,Inter Milan,76,Header,Home,2
Kevin De Bruyne,Belgium,Manchester City,2012-13,Final,Benfica,31,Free Kick,Away,1
Fernando Torres,Spain,Liverpool,2012-13,Group Stage,Tottenham Hotspur,44,Header,Away,1
Neymar Jr,Brazil,Barcelona,2023-24,Semi-Final,Porto,90,Right Foot,Away,2
Cristiano Ronaldo,Portugal,Juventus,2013-14,Group Stage,Atletico Madrid,29,Header,Away,1
Luka Modric,Croatia,Real Madrid,2016-17,Round Of 16,Atletico Madrid,65,Right Foot,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Round Of 16,Benfica,48,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Semi-Final,Barcelona,40,Right Foot,Home,1
Paulo Dybala,Argentina,Juventus,2011-12,Group Stage,Bayern Munich,52,Right Foot,Away,1
Neymar Jr,Brazil,Barcelona,2010-11,Round Of 16,Inter Milan,23,Right Foot,Away,3
Joshua Kimmich,Germany,Bayern Munich,2023-24,Group Stage,Ac Milan,60,Header,Home,1
Kylian Mbappe,France,Real Madrid,2017-18,Round Of 16,Porto,4,Penalty,Away,2
Victor Osimhen,Nigeria,Napoli,2020-21,Group Stage,Liverpool,4,Left Foot,Home,2
Kevin De Bruyne,Belgium,Manchester City,2012-13,Final,Benfica,32,Header,Away,1
Fernando Torres,Spain,Chelsea,2013-14,Group Stage,Tottenham Hotspur,64,Header,Home,1
Wayne Rooney,England,Manchester United,2020-21,Group Stage,Paris Saint-Germain,2,Left Foot,Home,3
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Group Stage,Juventus,15,Left Foot,Away,1
Ousmane Dembele,France,Barcelona,2017-18,Quarter-Final,Borussia Dortmund,38,Header,Away,3
Neymar Jr,Brazil,Barcelona,2023-24,Group Stage,Sevilla,64,Right Foot,Away,1
Erling Haaland,Norway,Borussia Dortmund,2012-13,Group Stage,Paris Saint-Germain,38,Right Foot,Home,1
Raul Gonzalez,Spain,Real Madrid,2010-11,Group Stage,Sevilla,96,Header,Home,3
Sadio Mane,Senegal,Liverpool,2013-14,Final,Inter Milan,57,Penalty,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2014-15,Quarter-Final,Bayern Munich,16,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2018-19,Group Stage,Real Madrid,48,Header,Home,1
Wayne Rooney,England,Manchester United,2022-23,Round Of 16,Juventus,68,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2014-15,Final,Ac Milan,50,Header,Away,1
Sergio Aguero,Argentina,Manchester City,2013-14,Group Stage,Borussia Dortmund,1,Penalty,Home,2
Filippo Inzaghi,Italy,Ac Milan,2013-14,Round Of 16,Benfica,56,Left Foot,Away,2
Luis Suarez,Uruguay,Atletico Madrid,2021-22,Round Of 16,Sevilla,68,Penalty,Away,1
Bukayo Saka,England,Arsenal,2017-18,Round Of 16,Atletico Madrid,18,Free Kick,Home,1
Alessandro Del Piero,Italy,Juventus,2013-14,Group Stage,Borussia Dortmund,16,Right Foot,Home,1
Lionel Messi,Argentina,Barcelona,2021-22,Quarter-Final,Benfica,38,Penalty,Home,1
Lionel Messi,Argentina,Barcelona,2010-11,Final,Manchester United,52,Penalty,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2022-23,Group Stage,Atletico Madrid,37,Penalty,Home,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2010-11,Semi-Final,Chelsea,75,Penalty,Home,1
Alessandro Del Piero,Italy,Juventus,2013-14,Quarter-Final,Manchester City,24,Penalty,Away,1
Kevin De Bruyne,Belgium,Manchester City,2014-15,Quarter-Final,Barcelona,28,Right Foot,Home,2
Cristiano Ronaldo,Portugal,Real Madrid,2015-16,Semi-Final,Inter Milan,96,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2010-11,Group Stage,Benfica,54,Left Foot,Away,1
Bernardo Silva,Portugal,Manchester City,2011-12,Group Stage,Ajax,68,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2014-15,Round Of 16,Barcelona,36,Left Foot,Away,2
Riyad Mahrez,Algeria,Manchester City,2015-16,Final,Bayern Munich,56,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2015-16,Group Stage,Real Madrid,40,Header,Away,1
Gareth Bale,Wales,Real Madrid,2013-14,Quarter-Final,Barcelona,36,Free Kick,Away,2
Thomas Muller,Germany,Bayern Munich,2013-14,Semi-Final,Arsenal,34,Penalty,Home,1
Alessandro Del Piero,Italy,Juventus,2022-23,Quarter-Final,Liverpool,28,Penalty,Away,3
Jude Bellingham,England,Real Madrid,2022-23,Group Stage,Tottenham Hotspur,55,Free Kick,Home,2
Wayne Rooney,England,Manchester United,2022-23,Group Stage,Paris Saint-Germain,52,Left Foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2017-18,Round Of 16,Atletico Madrid,27,Header,Away,1
Karim Benzema,France,Real Madrid,2018-19,Semi-Final,Porto,72,Right Foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2010-11,Round Of 16,Barcelona,93,Header,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2014-15,Round Of 16,Real Madrid,4,Left Foot,Home,2
Mohamed Salah,Egypt,Liverpool,2012-13,Round Of 16,Juventus,9,Penalty,Home,2
