Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
  MEMPHIS DEPAY  ,Netherlands,Barcelona,2018-19,R16,Real Madrid,17,Free Kick, Away,1
Antoine Griezmann,France,Atletico Madrid,2019-20,R16,Liverpool,19,right foot, Away,3
Julian Alvarez,Argentina,Manchester City,2017-18,GROUP STAGE,Paris Saint-Germain,56,Penalty,home,1
Harry Kane,England,Tottenham Hotspur,2019-20,Final,Arsenal,36,header,Home,3
Bukayo Saka,England,Arsenal,2022-23,GROUP STAGE,,31,header, Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2014-15,Quarter-final,Sevilla,52,PENALTY,Home ,3
Harry Kane,England,Bayern Munich,2011-12,Semi-final,Tottenham Hotspur,95,Penalty,Away,2
Erling Haaland,Norway,Manchester City,2018-19,GROUP STAGE,Borussia Dortmund,73',Penalty,Away,1
Joshua Kimmich,,Bayern Munich,2015-16,Round of 16,Tottenham Hotspur,26,header,Home,1
Neymar Jr,Brazil,Barcelona,2022-23,Semi-final,Bayern Munich,16,PENALTY,AWAY,2
Wayne Rooney,England,Manchester United,2015-16,Round of 16,Borussia Dortmund,15,PENALTY,AWAY,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Final,Arsenal,53,Right Foot,AWAY,1
Victor Osimhen,Nigeria,Napoli  ,2014-15,GROUP STAGE,Juventus,61,Free Kick,Home,3
Wayne Rooney,England,Manchester United,2014-15,Final,AC Milan,20',Right Foot,Away,1
Karim Benzema,France,Real Madrid,2015-16,Round of 16,Liverpool,44,Penalty, Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Semi-final,Chelsea,81,right foot,home,1
Gareth Bale,Wales,Real Madrid,2010-11,Group Stage,Juventus,68,Header,Home,2
Kylian Mbappe,France,Paris Saint-Germain,2016-17,Final,Benfica,32,PENALTY, Away,1
  NEYMAR JR  ,Brazil,Barcelona,2013-14,Group Stage,Ajax,42,Header,home,3
Erling Haaland,Norway,Manchester City,2010-11,Round of 16,Tottenham Hotspur,36,right foot,Home,1
Julian Alvarez,Argentina,Manchester City,2023-24,R16,AC Milan,83,header,home,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2022-23,Round of 16,Ajax,22,PENALTY, Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2013-14,Quarter-final,Sevilla,66,Left Foot, Away,3
Luka Modric,Croatia,Real Madrid,2014-15,R16,AC Milan,18,Left Foot, Away,1
Joshua Kimmich,Germany,Bayern Munich,2011-12,Quarter-final,Bayern Munich,70,right foot,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2018-19,GROUP STAGE,Manchester City,83,PENALTY, Away,2
Harry Kane,England,Bayern Munich,2021-22,Group stage,AC Milan,67,header,Home,2
Bernardo Silva,Portugal,Manchester City,2018-19,Round of 16,Borussia Dortmund,22,Left Foot,Away,1
Kylian Mbappe,France,Real Madrid  ,2011-12,Round of 16,Ajax,48,Free Kick,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2021-22,Group Stage,Porto,35,PENALTY,Home,1
Victor Osimhen,Nigeria,Napoli,2023-24,Round of 16,Inter Milan,70,PENALTY,home,2
Mohamed Salah,Egypt,Liverpool,2021-22,Group Stage,Inter Milan,89,Penalty,Away,1
Toni Kroos,Germany,Real Madrid,2022-23,R16,Bayern Munich,41,Free Kick,AWAY,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Quarter-final,Ajax,23,Free Kick,Home ,1
Joshua Kimmich,Germany,Bayern Munich,2023-24,R16,AC Milan,50,Right Foot,AWAY,1
Jude Bellingham,England,Real Madrid,2015-16,R16,Borussia Dortmund,60,Header,home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2013-14,Group stage,AC Milan,81,right foot,AWAY,1
Lionel Messi,Argentina,Barcelona,2017-18,GROUP STAGE,Tottenham Hotspur,55,Left Foot,AWAY,1
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Semi-final,Tottenham Hotspur,19,Right Foot,Away,1
Raul Gonzalez,Spain,Real Madrid,2010-11,GROUP STAGE,Sevilla,89,header,Home,2
Toni Kroos,Germany,Real Madrid,2015-16,Semi-final,Barcelona,54,right foot,home,2
Vinicius Junior,Brazil,Real Madrid,2020-21,R16,Real Madrid,75,Left Foot,Home,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2023-24,Semi-final,Paris Saint-Germain,74,Left Foot, Away,1
Robert Lewandowski,Poland,Borussia Dortmund,2020-21,Group Stage,Bayern Munich,18,header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2019-20,Semi-final,Barcelona,30,Free Kick,home,2
  NEYMAR JR  ,Brazil,Paris Saint-Germain,2018-19,GROUP STAGE,Tottenham Hotspur,21,PENALTY,Home ,3
Toni Kroos,Germany,Real Madrid,2018-19,Final,Sevilla,77,Right Foot,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2015-16,Group Stage,Manchester United,85,Header,Home ,1
Andriy Shevchenko,Ukraine,AC Milan,2020-21,Final,Sevilla,79,Header,AWAY,1
Neymar Jr,Brazil,Paris Saint-Germain,2019-20,GROUP STAGE,Barcelona,49,Penalty,AWAY,2
Raul Gonzalez,Spain,Real Madrid,2020-21,Quarter-final,Porto,66,Header,Home,2
Neymar Jr,Brazil,Barcelona,2022-23,Final,Sevilla,70,header,Home,2
Bernardo Silva,Portugal,Manchester City,2011-12,Semi-final,Ajax,68,Right Foot,AWAY,1
Filippo Inzaghi,Italy,AC Milan,2023-24,Group stage,Atletico Madrid,87,PENALTY,home,2
Memphis Depay,Netherlands,Barcelona,2022-23,R16,Juventus,88,Free Kick,home,1
Bernardo Silva,Portugal,Manchester City,2013-14,R16,Inter Milan,95,PENALTY,AWAY,1
Erling Haaland,Norway,Manchester City,2020-21,GROUP STAGE,Atletico Madrid,,Free Kick,home,1
Bernardo Silva,Portugal,Manchester City,2012-13,GROUP STAGE,Benfica,1,Header, Away,1
Toni Kroos,Germany,Real Madrid,2023-24,Group Stage,Ajax,78,header, Away,2
Joshua Kimmich,Germany,Bayern Munich,2017-18,Round of 16,Bayern Munich,90,Penalty,AWAY,3
memphis depay,Netherlands,Barcelona,2013-14,Quarter-final,Inter Milan,49,Free Kick, Away,1
Karim Benzema,France,Real Madrid,2013-14,GROUP STAGE,Manchester City,25,Free Kick,home,1
Mohamed Salah,Egypt,Liverpool,2020-21,GROUP STAGE,Sevilla,87,Header,Home ,1
Kylian Mbappe,France,Real Madrid,2016-17,R16,AC Milan,34,Left Foot,Away,2
Fernando Torres,Spain,Chelsea,2013-14,Round of 16,Barcelona,34,Free Kick, Away,1
Luka Modric,Croatia,Real Madrid,2013-14,Quarter-final,Inter Milan,4,right foot,Home,1
Kevin De Bruyne,Belgium,Manchester City,2022-23,Group stage,,70,header,Home,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Group stage,Sevilla,79,Penalty, Away,1
Filippo Inzaghi,Italy,AC Milan,2021-22,Final,,59,Header,home,1
Antoine Griezmann,France,Atletico Madrid,2012-13,R16,Benfica,28,Free Kick,home,2
Erling Haaland,Norway,Manchester City  ,2013-14,Round of 16,Inter Milan,36,Penalty,AWAY,1
Paulo Dybala,Argentina,Juventus,2021-22,Round of 16,,46,Left Foot,home,1
Gareth Bale,Wales,Real Madrid,2020-21,Quarter-final,Chelsea,94,Header,Home,1
Raul Gonzalez,Spain,Real Madrid,2020-21,R16,,74,PENALTY,home,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2016-17,Quarter-final,Arsenal,,Header,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2019-20,Round of 16,Atletico Madrid,40,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2012-13,Semi-final,Bayern Munich,67,header,Home,2
Sergio Aguero,Argentina,Manchester City,2022-23,GROUP STAGE,Barcelona,27,Right Foot,Away,2
Joshua Kimmich,Germany,Bayern Munich,2010-11,Group stage,AC Milan,91,Header,Home ,1
Wayne Rooney,England,Manchester United,2011-12,Group stage,Arsenal,75,header,Home ,3
Joshua Kimmich,,Bayern Munich,2020-21,Quarter-final,Sevilla,47,PENALTY,Away,2
Thomas Muller,Germany,Bayern Munich,2016-17,R16,Atletico Madrid,57,Header, Away,3
Ruud van Nistelrooy,Netherlands,Manchester United  ,2022-23,Round of 16,Sevilla,19,header,Home ,1
Victor Osimhen,Nigeria,Napoli,2015-16,GROUP STAGE,,93,right foot,Away,1
Vinicius Junior,Brazil,Real Madrid,2012-13,R16,Borussia Dortmund,45,header,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2011-12,Group stage,Barcelona,26',Penalty,Home ,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Semi-final,Arsenal,62,Free Kick,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2019-20,Semi-final,Juventus,75,Left Foot,Home,3
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Bayern Munich,10,header,AWAY,1
Gareth Bale,Wales,Real Madrid,2019-20,R16,Barcelona,85,right foot,AWAY,1
Lionel Messi,Argentina,Barcelona,2017-18,Semi-final,Barcelona,74,PENALTY, Away,1
Bukayo Saka,England,Arsenal,2012-13,GROUP STAGE,,27,Penalty,home,1
Luis Suarez,Uruguay,Atletico Madrid,2020-21,Quarter-final,Juventus,65,Left Foot,Away,1
Toni Kroos,Germany,Real Madrid,2012-13,Semi-final,Sevilla,43,Penalty,AWAY,3
Kylian Mbappe,France,Paris Saint-Germain,2017-18,R16,Benfica,20,PENALTY,Home ,2
Antoine Griezmann,France,Atletico Madrid,2019-20,Semi-final,Barcelona,76,Penalty,Home,2
Zlatan Ibrahimovic,Sweden,Barcelona,2010-11,Semi-final,Manchester United,78,Left Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2018-19,Semi-final,Manchester City,47,header,Home,2
Vinicius Junior,Brazil,Real Madrid,2017-18,Round of 16,Porto,46,Left Foot,home,2
Memphis Depay,Netherlands,Barcelona,2012-13,Round of 16,Real Madrid,93,right foot,home,1
Robert Lewandowski,Poland,Borussia Dortmund,2011-12,R16,Ajax,65,Right Foot,AWAY,1
  RIYAD MAHREZ  ,Algeria,Manchester City,2021-22,Semi-final,,39,Left Foot, Away,3
Ruud van Nistelrooy,Netherlands,Manchester United,2010-11,Semi-final,Tottenham Hotspur,68,Free Kick, Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2014-15,Quarter-final,,40,Header,Home,2
Julian Alvarez,Argentina,Manchester City,2012-13,Round of 16,Inter Milan,,Penalty,Home,2
Wayne Rooney,England,Manchester United,2020-21,Final,Juventus,78,header,Home,2
Bukayo Saka,England,Arsenal,2012-13,Round of 16,Benfica,36,Free Kick,Away,1
Filippo Inzaghi,Italy,AC Milan,2017-18,Round of 16,Real Madrid,88,right foot, Away,1
Victor Osimhen,Nigeria,Napoli,2022-23,Final,Napoli,34,Header,Home,3
Luka Modric,Croatia,Real Madrid,2023-24,R16,Barcelona,3,PENALTY,AWAY,3
Neymar Jr,Brazil,Barcelona,2014-15,Round of 16,Napoli,80,header,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2014-15,Round of 16,AC Milan,71,PENALTY,AWAY,1
Thomas Muller,Germany,Bayern Munich,2021-22,Final,Manchester United,71,Free Kick,Home ,1
Victor Osimhen,Nigeria,Napoli,2022-23,Quarter-final,Chelsea,18,header,Home ,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Round of 16,Manchester City,7,header,Home ,1
Kylian Mbappe,France,Paris Saint-Germain,2020-21,GROUP STAGE,Chelsea,51,Left Foot,Home ,1
Thomas Muller,Germany,Bayern Munich,2019-20,Semi-final,Barcelona,62,Left Foot,AWAY,1
Alessandro Del Piero,Italy,Juventus,2015-16,Round of 16,Bayern Munich,40,header,AWAY,1
Jude Bellingham,England,Real Madrid,2016-17,Group Stage,Bayern Munich,21,Penalty,Home,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2023-24,GROUP STAGE,Arsenal,20,Penalty, Away,1
Gareth Bale,Wales,Real Madrid,2023-24,R16,Benfica,43,header,Home ,2
  THOMAS MULLER  ,Germany,Bayern Munich,2016-17,Semi-final,Borussia Dortmund,2,Header,AWAY,1
Sadio Mane,Senegal,Liverpool,2019-20,Final,Napoli,12',Left Foot, Away,3
Alessandro Del Piero,Italy,Juventus,2021-22,Group stage,Sevilla,8,Left Foot, Away,2
Joshua Kimmich,Germany,Bayern Munich,2019-20,Group Stage,Atletico Madrid,56,Header,home,1
  LIONEL MESSI  ,Argentina,Barcelona,2017-18,Final,Napoli,17,PENALTY,Home,2
Andriy Shevchenko,Ukraine,AC Milan,2017-18,GROUP STAGE,Sevilla,92,PENALTY,AWAY,2
Zlatan Ibrahimovic,Sweden,AC Milan,2012-13,Group stage,Manchester United,76,PENALTY,Home,1
Julian Alvarez,Argentina,Manchester City,2020-21,R16,,36,PENALTY, Away,3
Didier Drogba,Ivory Coast,Chelsea,2019-20,Group stage,Ajax,51,header, Away,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Round of 16,Atletico Madrid,83,header,Home,3
Sadio Mane,Senegal,Liverpool,2010-11,Final,Atletico Madrid,59,header, Away,2
Bukayo Saka,England,Arsenal,2012-13,Group Stage,Benfica,18,Penalty,Home ,1
Ousmane Dembele,France,Paris Saint-Germain,2019-20,Group stage,AC Milan,16,Free Kick,Away,1
Julian Alvarez,Argentina,Manchester City,2013-14,Semi-final,Atletico Madrid,19,Free Kick,home,1
Bernardo Silva,Portugal,Manchester City,2014-15,Final,Benfica,91,header,Away,1
Toni Kroos,Germany,Real Madrid,2013-14,Semi-final,Paris Saint-Germain,61,PENALTY,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2020-21,Quarter-final,Benfica,58,Free Kick,AWAY,2
Thomas Muller,Germany,Bayern Munich,2020-21,GROUP STAGE,Real Madrid,89,Left Foot,Home,3
  THOMAS MULLER  ,Germany,Bayern Munich,2020-21,Final,Juventus,25,Header,Away,2
Mohamed Salah,Egypt,Liverpool,2019-20,Group stage,Sevilla,52,Free Kick,AWAY,2
Thomas Muller,Germany,Bayern Munich,2019-20,Quarter-final,Juventus,1,PENALTY,Home,3
Sadio Mane,Senegal,Bayern Munich,2011-12,Semi-final,Porto,68,Penalty,AWAY,1
Memphis Depay,Netherlands,Barcelona,2021-22,GROUP STAGE,Inter Milan,19,Penalty, Away,3
Fernando Torres,Spain,Liverpool,2022-23,R16,Liverpool,64,Free Kick,Home ,1
Antoine Griezmann,France,Atletico Madrid,2023-24,Round of 16,Porto,11,Penalty,Home ,3
Mohamed Salah,Egypt,Liverpool,2014-15,Quarter-final,Liverpool,29,Free Kick, Away,1
Luka Modric,Croatia,Real Madrid,2011-12,Group Stage,,66,right foot,AWAY,1
Raul Gonzalez,Spain,Real Madrid,2020-21,GROUP STAGE,Sevilla,76,PENALTY,home,1
Victor Osimhen,Nigeria,Napoli,2022-23,Round of 16,Benfica,44,PENALTY,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Final,Tottenham Hotspur,46,PENALTY,Home,1
Riyad Mahrez,Algeria,Manchester City,2010-11,Group Stage,Tottenham Hotspur,72,Penalty,Home,1
Erling Haaland,Norway,Borussia Dortmund,2015-16,Group stage,Inter Milan,52,Free Kick,Away,1
Memphis Depay,Netherlands,Barcelona,2023-24,Quarter-final,Atletico Madrid,11,Free Kick,Home,1
Filippo Inzaghi,Italy,AC Milan  ,2016-17,Group stage,Sevilla,62',header,home,2
Antoine Griezmann,France,Atletico Madrid,2015-16,Group Stage,Chelsea,14,header,Home ,1
Memphis Depay,Netherlands,Barcelona,2022-23,GROUP STAGE,Sevilla,58,header,home,1
Paulo Dybala,Argentina,Juventus,2021-22,Quarter-final,Paris Saint-Germain,47,PENALTY, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Semi-final,Tottenham Hotspur,82,header,Home,1
Thomas Muller,Germany,Bayern Munich  ,2012-13,Round of 16,Chelsea,21,right foot,home,2
Harry Kane,England,Bayern Munich  ,2020-21,GROUP STAGE,Tottenham Hotspur,63,Free Kick,Away,1
Victor Osimhen,Nigeria,Napoli  ,2014-15,GROUP STAGE,Juventus,61,Free Kick,Home,3
Mohamed Salah,Egypt,Liverpool,2017-18,R16,Borussia Dortmund,71,Right Foot,home,1
Bernardo Silva,Portugal,Manchester City,2011-12,Group Stage,Napoli,1,PENALTY,Home ,1
Didier Drogba,Ivory Coast,Chelsea,2016-17,GROUP STAGE,AC Milan,1,Left Foot,Away,1
Jude Bellingham,England,Real Madrid,2022-23,Group stage,Ajax,66,Left Foot,AWAY,1
Andriy Shevchenko,Ukraine,Chelsea,2013-14,Group stage,Benfica,34,right foot,home,2
Julian Alvarez,Argentina,Manchester City,2014-15,Semi-final,Paris Saint-Germain,6,Penalty,Home,1
Ruud van Nistelrooy,Netherlands,Manchester United  ,2010-11,Round of 16,Tottenham Hotspur,86,Header,Away,1
Alessandro Del Piero,Italy,Juventus,2020-21,GROUP STAGE,,7,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2020-21,Round of 16,Bayern Munich,78,Header,Home ,3
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,GROUP STAGE,Liverpool,73,Left Foot,home,2
Alessandro Del Piero,Italy,Juventus,2016-17,Group stage,Porto,86,Header, Away,3
Harry Kane,England,Tottenham Hotspur,2016-17,Group Stage,Sevilla,17,Left Foot,Home,2
Cristiano Ronaldo,Portugal,Juventus,2020-21,GROUP STAGE,Liverpool,21,Header,Home,1
Bernardo Silva,Portugal,Manchester City,2012-13,Quarter-final,Bayern Munich,72,Header,home,2
Raul Gonzalez,,Real Madrid,2020-21,Semi-final,AC Milan,26,Penalty,home,1
Riyad Mahrez,Algeria,Manchester City,2017-18,Round of 16,Ajax,33,PENALTY,Away,1
Mohamed Salah,Egypt,Liverpool,2022-23,R16,,51,Header,home,1
Robert Lewandowski,Poland,Borussia Dortmund,2010-11,Quarter-final,Liverpool,48,right foot,home,2
Thomas Muller,Germany,Bayern Munich,2017-18,GROUP STAGE,Juventus,17,Penalty,AWAY,1
Fernando Torres,Spain,Liverpool,2012-13,R16,Manchester United,,header,home,3
Luka Modric,Croatia,Real Madrid,2017-18,Final,Napoli,42,Free Kick,home,2
Ousmane Dembele,France,Paris Saint-Germain,2021-22,Group Stage,Bayern Munich,23,header,AWAY,1
Didier Drogba,Ivory Coast,Chelsea,2011-12,Group Stage,Juventus,17,Right Foot,home,2
Sadio Mane,Senegal,Liverpool,2018-19,R16,Inter Milan,72,Right Foot,Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Round of 16,,72,header,AWAY,2
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Group stage,Borussia Dortmund,57,Header,Home ,3
Luis Suarez,Uruguay,Atletico Madrid,2022-23,R16,Real Madrid,18,Free Kick, Away,2
Sadio Mane,Senegal,Bayern Munich,2013-14,Final,Benfica,25,PENALTY,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Quarter-final,Chelsea,12,Header, Away,1
Sadio Mane,,Liverpool,2023-24,R16,Manchester United,32,Left Foot, Away,2
Cristiano Ronaldo,Portugal,Manchester United,2017-18,Semi-final,Manchester City,49,right foot,home,1
Erling Haaland,Norway,Borussia Dortmund,2022-23,Semi-final,Manchester City,90,Left Foot,Home ,2
Cristiano Ronaldo,Portugal,Juventus,2021-22,Round of 16,Napoli,12,Free Kick, Away,2
Kevin De Bruyne,Belgium,Manchester City,2013-14,Semi-final,Inter Milan,71,right foot,home,1
Luka Modric,Croatia,Real Madrid,2014-15,Final,Ajax,46,Left Foot,Home ,1
Luka Modric,Croatia,Real Madrid,2010-11,Semi-final,Napoli,10,Free Kick,Home,1
Vinicius Junior,,Real Madrid,2016-17,Round of 16,Borussia Dortmund,88,Header, Away,1
Paulo Dybala,Argentina,Juventus,2016-17,GROUP STAGE,Benfica,71,Header, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2012-13,Round of 16,Arsenal,40,right foot,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2018-19,Semi-final,Tottenham Hotspur,92,PENALTY,Away,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2020-21,Group stage,Paris Saint-Germain,34,Penalty, Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2022-23,Final,Ajax,68,PENALTY,Away,3
Cristiano Ronaldo,Portugal,Juventus,2016-17,Group stage,Tottenham Hotspur,32,Right Foot,Home ,1
Andriy Shevchenko,Ukraine,Chelsea,2022-23,Semi-final,Borussia Dortmund,45,Header, Away,2
Karim Benzema,France,Real Madrid,2012-13,Round of 16,Borussia Dortmund,38,right foot,Home,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2013-14,Group Stage,,61,right foot,Away,2
Erling Haaland,Norway,Borussia Dortmund,2012-13,Final,Benfica,30,right foot,Home ,3
Luka Modric,Croatia,Real Madrid,2018-19,Quarter-final,Manchester City,89,Header, Away,1
Andriy Shevchenko,Ukraine,AC Milan,2012-13,Group stage,Chelsea,80,Left Foot,Home ,2
Riyad Mahrez,Algeria,Manchester City,2023-24,Semi-final,Chelsea,83,Penalty, Away,1
Andriy Shevchenko,Ukraine,Chelsea,2010-11,Group stage,Liverpool,66,header,AWAY,1
Raul Gonzalez,Spain,Real Madrid,2013-14,Final,Barcelona,43,right foot,Home ,1
Fernando Torres,Spain,Chelsea,2012-13,Final,Manchester City,15,right foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2020-21,Group Stage,Borussia Dortmund,42,Left Foot, Away,3
Sergio Aguero,Argentina,Manchester City,2020-21,Semi-final,Benfica,89,Penalty,AWAY,1
Luka Modric,Croatia,Real Madrid,2014-15,Quarter-final,Borussia Dortmund,56,header,Away,1
Andriy Shevchenko,Ukraine,AC Milan  ,2015-16,Semi-final,Atletico Madrid,9,Penalty, Away,2
  RAUL GONZALEZ  ,Spain,Real Madrid,2013-14,Group Stage,,33,right foot, Away,1
Andriy Shevchenko,Ukraine,AC Milan,2015-16,R16,Borussia Dortmund,60,right foot,home,2
Wayne Rooney,England,Manchester United,2016-17,Final,Chelsea,70,Penalty,Away,1
Julian Alvarez,Argentina,Manchester City,2020-21,GROUP STAGE,Ajax,75,Left Foot,Home,2
Filippo Inzaghi,Italy,AC Milan,2023-24,R16,Atletico Madrid,67,right foot,Away,2
Vinicius Junior,Brazil,Real Madrid,2014-15,Round of 16,Arsenal,71,Left Foot,home,1
Joshua Kimmich,Germany,Bayern Munich,2017-18,Quarter-final,Ajax,34,Right Foot, Away,2
Thomas Muller,Germany,Bayern Munich,2021-22,Group stage,Atletico Madrid,88,header,Home,1
Joshua Kimmich,Germany,Bayern Munich,2012-13,GROUP STAGE,Manchester City,84,Left Foot,Home ,3
  OUSMANE DEMBELE  ,France,Barcelona,2011-12,Final,Benfica,60,header,Home,1
Memphis Depay,Netherlands,Barcelona,2010-11,Semi-final,Liverpool,28,right foot,Home ,2
Cristiano Ronaldo,Portugal,Real Madrid,2019-20,Round of 16,,43,Free Kick,AWAY,2
Toni Kroos,Germany,Real Madrid,2021-22,Final,Porto,5,header,AWAY,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,Quarter-final,Manchester City,36,right foot, Away,1
Cristiano Ronaldo,Portugal,Manchester United,2014-15,Final,,82,header,Home,2
Fernando Torres,Spain,Chelsea,2022-23,Quarter-final,Liverpool,24',Free Kick,Home,2
  LIONEL MESSI  ,Argentina,Barcelona,2014-15,Round of 16,Barcelona,95,PENALTY,Home ,3
Wayne Rooney,England,Manchester United,2017-18,GROUP STAGE,Manchester United,89,Penalty,home,1
Ousmane Dembele,France,Barcelona,2013-14,GROUP STAGE,Bayern Munich,58,right foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,R16,Bayern Munich,80,Right Foot,home,1
Cristiano Ronaldo,Portugal,Manchester United,2022-23,Final,Napoli,71,Right Foot, Away,1
Lionel Messi,Argentina,Barcelona,2020-21,Group stage,Paris Saint-Germain,4,header,AWAY,3
Kylian Mbappe,France,Paris Saint-Germain,2016-17,Quarter-final,,,Penalty, Away,3
Kevin De Bruyne,Belgium,Manchester City,2023-24,Quarter-final,Paris Saint-Germain,33,header,home,3
Raul Gonzalez,Spain,Real Madrid,2021-22,Group Stage,Atletico Madrid,50,right foot,home,1
Sadio Mane,Senegal,Bayern Munich,2015-16,GROUP STAGE,Bayern Munich,81,Left Foot,Away,2
Harry Kane,England,Bayern Munich,2012-13,Quarter-final,Chelsea,71,header,Home,1
Wayne Rooney,England,Manchester United,2022-23,Quarter-final,Ajax,91,Left Foot, Away,1
Vinicius Junior,Brazil,Real Madrid,2016-17,R16,Bayern Munich,87,Header,home,1
Memphis Depay,Netherlands,Barcelona  ,2012-13,Final,Porto,11,Right Foot, Away,3
Jude Bellingham,England,Real Madrid,2022-23,Semi-final,Liverpool,94,Penalty,Home,2
Vinicius Junior,Brazil,Real Madrid,2014-15,Group Stage,Ajax,90,Penalty,AWAY,1
raul gonzalez,Spain,Real Madrid,2022-23,Group Stage,Juventus,53,Header, Away,1
Joshua Kimmich,Germany,Bayern Munich,2022-23,Semi-final,Tottenham Hotspur,88,Left Foot,Home ,2
Zlatan Ibrahimovic,Sweden,Barcelona,2013-14,Final,,64,Free Kick,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,R16,Juventus,77,PENALTY, Away,1
Robert Lewandowski,Poland,Barcelona,2011-12,R16,Chelsea,3,Penalty,AWAY,1
Andriy Shevchenko,Ukraine,AC Milan,2017-18,GROUP STAGE,Paris Saint-Germain,87,Right Foot,AWAY,2
Erling Haaland,Norway,Borussia Dortmund,2023-24,Group Stage,Chelsea,53,Left Foot,home,1
Kylian Mbappe,France,Paris Saint-Germain,2017-18,Quarter-final,Atletico Madrid,13,Penalty,Home ,3
Ruud van Nistelrooy,Netherlands,Manchester United,2021-22,Semi-final,Juventus,89,PENALTY,Home,1
Raul Gonzalez,Spain,Real Madrid,2018-19,GROUP STAGE,Manchester City,55,Left Foot,Home,2
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Group stage,AC Milan,19,PENALTY,home,1
Antoine Griezmann,France,Atletico Madrid,2010-11,Group stage,Liverpool,70,right foot, Away,3
Ousmane Dembele,France,Paris Saint-Germain,2012-13,R16,Inter Milan,38,Header,Home,2
Thomas Muller,Germany,Bayern Munich,2010-11,Semi-final,Arsenal,40,PENALTY,Home ,1
Thomas Muller,Germany,Bayern Munich,2013-14,Group stage,Napoli,7,Penalty,AWAY,1
Bukayo Saka,England,Arsenal,2013-14,Group Stage,Atletico Madrid,86,Penalty,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2016-17,GROUP STAGE,Tottenham Hotspur,13,Header,Home ,2
Joshua Kimmich,Germany,Bayern Munich,2015-16,Group stage,AC Milan,26,header,Home,2
Jude Bellingham,England,Real Madrid,2017-18,Group Stage,Paris Saint-Germain,28,Left Foot,AWAY,1
Mohamed Salah,Egypt,Liverpool,2019-20,R16,Chelsea,81,header,Home,1
Ruud van Nistelrooy,,Real Madrid,2014-15,Round of 16,Atletico Madrid,48,Header,Home,2
Bernardo Silva,Portugal,Manchester City,2020-21,Round of 16,Paris Saint-Germain,88',Free Kick, Away,1
Kevin De Bruyne,Belgium,Manchester City,2018-19,GROUP STAGE,Manchester United,22,right foot,Home ,1
Memphis Depay,Netherlands,Barcelona,2016-17,Group stage,Real Madrid,79,right foot,Away,1
Bernardo Silva,Portugal,Manchester City,2022-23,Round of 16,AC Milan,74,Penalty,Home,2
Karim Benzema,France,Real Madrid,2011-12,Group stage,AC Milan,13,PENALTY,home,2
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Group Stage,Inter Milan,38,Left Foot,AWAY,2
